arm,model_seed,split_seed,joint,coverage,selective,pixel_acc,component_acc
L2A_src,6,6,29.599999999999998,94.73605072463769,31.24470544590901,67.21657381615599,67.32789855072465
L2A_src,6,7,27.845350241545898,93.67028985507247,29.726982039479626,68.43074792243767,68.70923913043478
L2A_src,6,8,29.024637681159415,94.10869565217389,30.841610841610844,67.76621621621621,67.78442028985508
L2A_src,6,9,28.78460144927536,93.87367149758454,30.663125229970383,67.95521390374331,67.70126811594203
L2A_src,7,0,30.07946859903381,93.48478260869567,32.175791353058045,66.08561643835617,65.82149758454105
L2A_src,7,1,27.889492753623184,93.15597826086956,29.93848948214872,67.93008474576271,67.96268115942028
L2A_src,7,2,27.82415458937198,91.93472222222222,30.265120638659415,67.48433242506812,67.35785024154588
L2A_src,7,3,28.729347826086947,92.32246376811595,31.118480436403583,66.58121468926554,66.6800724637681
L2A_src,7,4,28.676690821256045,93.06328502415457,30.814182858270062,67.18133333333334,67.08997584541063
L2A_src,7,5,27.306521739130435,91.95199275362317,29.696498054474713,67.68543956043956,67.7728260869565
L2A_src,7,6,29.273369565217394,93.16503623188405,31.42098232254979,66.466573816156,66.58550724637684
L2A_src,7,7,27.236775362318845,91.93417874396137,29.62638676326662,67.74515235457064,67.99849033816426
L2A_src,7,8,27.995289855072464,91.65543478260868,30.54405875818777,66.96013513513513,66.98659420289856
L2A_src,7,9,27.99836956521739,91.89299516908214,30.468448126759483,67.46524064171123,67.1118961352657
L2A_src,8,0,28.397584541062805,93.16545893719808,30.480807871300602,67.72260273972603,67.48731884057972
L2A_src,8,1,26.226268115942037,91.92626811594201,28.529677809681292,68.90889830508475,68.93278985507246
L2A_src,8,2,26.73659420289855,91.3562801932367,29.26629033750645,68.41280653950955,68.3760265700483
L2A_src,8,3,27.81159420289856,91.81521739130436,30.29083303737028,67.30579096045197,67.42047101449276
L2A_src,8,4,27.819806763285015,93.13442028985507,29.870596366739143,68.11,68.02355072463767
L2A_src,8,5,26.892210144927535,92.47554347826086,29.08034830987433,68.52609890109889,68.67010869565216
L2A_src,8,6,27.696014492753623,92.49384057971012,29.94363118578206,67.79387186629526,67.91902173913044
L2A_src,8,7,26.20096618357488,92.10923913043477,28.445535356634537,69.01038781163435,69.2191425120773
L2A_src,8,8,26.646014492753622,91.9532608695652,28.97778092997782,68.59864864864865,68.63188405797102
L2A_src,8,9,26.581823671497585,91.39498792270533,29.08455296692899,68.6437165775401,68.3123188405797
L2A_src,9,0,31.455193236714972,91.9084541062802,34.22448298427599,64.36849315068494,63.98997584541062
L2A_src,9,1,30.0358695652174,91.86884057971014,32.69429479645684,65.29025423728814,65.34039855072464
L2A_src,9,2,29.819323671497582,91.25676328502415,32.67628896541319,64.8841961852861,64.7856884057971
L2A_src,9,3,31.344927536231882,92.39003623188405,33.92674017094352,63.89618644067797,64.13677536231883
L2A_src,9,4,30.783454106280196,91.80422705314011,33.53163039917699,64.84666666666666,64.75446859903381
L2A_src,9,5,29.703623188405796,91.16992753623187,32.580505426640016,64.59615384615385,64.77409420289855
L2A_src,9,6,30.78152173913044,91.5751811594203,33.613388856467424,63.924094707520894,64.1034420289855
L2A_src,9,7,29.65549516908213,90.80338164251206,32.65902065832106,64.79293628808864,65.02614734299516
L2A_src,9,8,30.474999999999998,91.82681159420291,33.187474846315915,64.44121621621622,64.54347826086956
L2A_src,9,9,30.31304347826087,91.70537439613527,33.0548167736812,65.21122994652406,64.71570048309178
L2A_pairedL1C,0,0,32.628985507246384,93.46038647342996,34.912102055690234,63.15068493150685,63.35386473429953
L2A_pairedL1C,0,1,29.11086956521739,92.58423913043478,31.442575797599126,66.42090395480226,66.41268115942029
L2A_pairedL1C,0,2,30.096980676328506,92.55609903381644,32.51755528863876,65.50885558583106,65.42439613526571
L2A_pairedL1C,0,3,29.45525362318841,92.11847826086957,31.97540187298179,65.81991525423729,65.87753623188406
L2A_pairedL1C,0,4,31.313164251207738,92.49263285024153,33.8547658189254,63.77466666666667,63.99371980676328
L2A_pairedL1C,0,5,29.514311594202898,92.36123188405796,31.955303098655648,65.84684065934066,65.92572463768114
L2A_pairedL1C,0,6,30.181521739130435,92.8625,32.50130218239918,65.51044568245126,65.52971014492753
L2A_pairedL1C,0,7,29.87071256038647,92.51642512077292,32.286929073829434,65.01592797783934,65.66618357487923
L2A_pairedL1C,0,8,29.21521739130435,92.21050724637679,31.6831760975399,66.11891891891892,65.97971014492754
L2A_pairedL1C,0,9,28.72530193236715,91.99776570048309,31.22391257401625,66.80280748663101,66.50205314009662
