run_seed,config,missing_features,mask,miou
0,impute,3,3|5|6,82.916351
0,base,3,3|5|7,57.834177
0,drop,3,3|5|7,62.655408
0,impute,3,3|5|7,81.557857
0,base,3,3|5|8,57.590498
0,drop,3,3|5|8,63.761538
0,impute,3,3|5|8,83.480455
0,base,3,3|5|9,37.229472
0,drop,3,3|5|9,62.879933
0,impute,3,3|5|9,82.696433
0,base,3,3|5|10,38.285219
0,drop,3,3|5|10,62.831375
0,impute,3,3|5|10,83.828939
0,base,3,3|5|11,26.131564
0,drop,3,3|5|11,62.074984
0,impute,3,3|5|11,82.502057
0,base,3,3|6|7,66.404589
0,drop,3,3|6|7,66.315260
0,impute,3,3|6|7,83.530541
0,base,3,3|6|8,97.891263
0,drop,3,3|6|8,88.048852
0,impute,3,3|6|8,85.784762
0,base,3,3|6|9,65.704323
0,drop,3,3|6|9,68.366584
0,impute,3,3|6|9,85.135464
0,base,3,3|6|10,72.451861
0,drop,3,3|6|10,73.519766
0,impute,3,3|6|10,85.946803
0,base,3,3|6|11,34.382724
0,drop,3,3|6|11,63.027310
0,impute,3,3|6|11,86.754764
0,base,3,3|7|8,60.232707
0,drop,3,3|7|8,65.940819
0,impute,3,3|7|8,82.560930
0,base,3,3|7|9,32.200419
0,drop,3,3|7|9,62.706623
0,impute,3,3|7|9,80.205381
0,base,3,3|7|10,31.708153
0,drop,3,3|7|10,63.766275
0,impute,3,3|7|10,83.254274
0,base,3,3|7|11,26.731174
0,drop,3,3|7|11,38.425963
0,impute,3,3|7|11,83.855501
0,base,3,3|8|9,46.701671
0,drop,3,3|8|9,85.644087
0,impute,3,3|8|9,85.125447
0,base,3,3|8|10,49.070567
0,drop,3,3|8|10,94.860580
0,impute,3,3|8|10,86.256858
0,base,3,3|8|11,30.576948
0,drop,3,3|8|11,87.410345
0,impute,3,3|8|11,86.870467
0,base,3,3|9|10,31.416491
0,drop,3,3|9|10,71.570775
0,impute,3,3|9|10,86.066886
0,base,3,3|9|11,24.812125
0,drop,3,3|9|11,65.122669
0,impute,3,3|9|11,86.555822
0,base,3,3|10|11,24.873649
0,drop,3,3|10|11,74.069930
0,impute,3,3|10|11,87.116634
0,base,3,4|5|6,64.839873
0,drop,3,4|5|6,83.163372
0,impute,3,4|5|6,84.545148
0,base,3,4|5|7,60.902656
0,drop,3,4|5|7,62.746086
0,impute,3,4|5|7,79.155450
0,base,3,4|5|8,66.625472
0,drop,3,4|5|8,73.204670
0,impute,3,4|5|8,84.468577
0,base,3,4|5|9,54.679695
0,drop,3,4|5|9,66.473702
0,impute,3,4|5|9,83.158600
0,base,3,4|5|10,60.983001
0,drop,3,4|5|10,68.198608
0,impute,3,4|5|10,84.636107
0,base,3,4|5|11,39.792648
0,drop,3,4|5|11,62.762351
0,impute,3,4|5|11,85.232255
0,base,3,4|6|7,66.019126
0,drop,3,4|6|7,66.033500
0,impute,3,4|6|7,80.498989
0,base,3,4|6|8,88.937593
0,drop,3,4|6|8,77.340122
0,impute,3,4|6|8,85.823742
0,base,3,4|6|9,74.204472
0,drop,3,4|6|9,73.272717
0,impute,3,4|6|9,85.674181
0,base,3,4|6|10,80.895027
0,drop,3,4|6|10,76.362878
0,impute,3,4|6|10,85.982870
0,base,3,4|6|11,58.321952
0,drop,3,4|6|11,72.687215
0,impute,3,4|6|11,87.810891
0,base,3,4|7|8,68.108131
0,drop,3,4|7|8,67.105427
0,impute,3,4|7|8,80.293117
0,base,3,4|7|9,54.740830
0,drop,3,4|7|9,62.814998
0,impute,3,4|7|9,80.649673
0,base,3,4|7|10,60.720911
0,drop,3,4|7|10,63.500521
0,impute,3,4|7|10,80.836791
0,base,3,4|7|11,35.430104
0,drop,3,4|7|11,57.677102
0,impute,3,4|7|11,78.567113
0,base,3,4|8|9,70.550344
0,drop,3,4|8|9,76.703820
0,impute,3,4|8|9,85.554522
0,base,3,4|8|10,85.899260
0,drop,3,4|8|10,73.744222
0,impute,3,4|8|10,85.480111
0,base,3,4|8|11,45.989404
0,drop,3,4|8|11,78.398668
0,impute,3,4|8|11,86.503476
0,base,3,4|9|10,47.533648
0,drop,3,4|9|10,75.589605
0,impute,3,4|9|10,85.283313
0,base,3,4|9|11,25.845944
0,drop,3,4|9|11,74.593526
0,impute,3,4|9|11,86.595070
0,base,3,4|10|11,25.774571
0,drop,3,4|10|11,78.877678
0,impute,3,4|10|11,87.623906
0,base,3,5|6|7,62.131368
0,drop,3,5|6|7,63.385058
0,impute,3,5|6|7,81.264444
0,base,3,5|6|8,62.804671
0,drop,3,5|6|8,63.692185
0,impute,3,5|6|8,83.555993
0,base,3,5|6|9,57.927136
0,drop,3,5|6|9,62.279548
0,impute,3,5|6|9,82.310189
0,base,3,5|6|10,61.728324
0,drop,3,5|6|10,62.482981
0,impute,3,5|6|10,83.383969
0,base,3,5|6|11,36.985222
0,drop,3,5|6|11,62.099162
0,impute,3,5|6|11,84.657758
0,base,3,5|7|8,57.195503
0,drop,3,5|7|8,62.310706
0,impute,3,5|7|8,81.264444
0,base,3,5|7|9,29.573331
0,drop,3,5|7|9,62.031915
0,impute,3,5|7|9,80.396327
0,base,3,5|7|10,30.860197
0,drop,3,5|7|10,62.261780
0,impute,3,5|7|10,81.462939
0,base,3,5|7|11,25.860516
0,drop,3,5|7|11,46.245103
