arm,kernel,width,receptive_field,params,state,model_seed,split_seed,joint,coverage
k3,3,32,9,30756,clean,2,6,8.20205128205128,67.27717948717951
k3,3,32,9,30756,clean,2,7,5.49833333333333,60.27
k3,3,32,9,30756,clean,2,8,7.101538461538459,64.57256410256413
k3,3,32,9,30756,clean,2,9,10.714999999999996,67.62397435897437
k3,3,32,9,30756,clean,3,0,10.096666666666668,68.28897435897436
k3,3,32,9,30756,clean,3,1,5.439102564102562,64.39153846153847
k3,3,32,9,30756,clean,3,2,7.400769230769234,69.80487179487176
k3,3,32,9,30756,clean,3,3,9.719999999999995,69.46397435897438
k3,3,32,9,30756,clean,3,4,8.716538461538459,67.38166666666665
k3,3,32,9,30756,clean,3,5,7.109230769230768,64.25442307692303
k3,3,32,9,30756,clean,3,6,7.412435897435897,68.46935897435901
k3,3,32,9,30756,clean,3,7,9.228589743589747,71.38935897435898
k3,3,32,9,30756,clean,3,8,9.182435897435898,71.96602564102564
k3,3,32,9,30756,clean,3,9,8.545128205128204,64.19358974358974
k3,3,32,9,30756,clean,4,0,9.004230769230766,68.13923076923078
k3,3,32,9,30756,clean,4,1,9.165128205128203,70.0052564102564
k3,3,32,9,30756,clean,4,2,8.547435897435896,71.7478205128205
k3,3,32,9,30756,clean,4,3,9.782307692307693,70.81102564102564
k3,3,32,9,30756,clean,4,4,8.129230769230766,61.9633333333333
k3,3,32,9,30756,clean,4,5,7.443589743589743,65.58198717948719
k3,3,32,9,30756,clean,4,6,10.213589743589743,72.49910256410257
k3,3,32,9,30756,clean,4,7,5.203974358974358,59.9723076923077
k3,3,32,9,30756,clean,4,8,6.420384615384614,65.4424358974359
k3,3,32,9,30756,clean,4,9,10.246410256410254,70.3229487179487
k3,3,32,9,30756,L2A_src,0,0,18.84282051282051,82.03358974358976
k3,3,32,9,30756,L2A_src,0,1,16.78064102564103,82.49961538461537
k3,3,32,9,30756,L2A_src,0,2,14.020897435897433,81.23282051282052
k3,3,32,9,30756,L2A_src,0,3,22.88615384615385,89.44435897435898
k3,3,32,9,30756,L2A_src,0,4,18.538333333333323,81.69743589743591
k3,3,32,9,30756,L2A_src,0,5,15.95282051282052,79.57839743589743
k3,3,32,9,30756,L2A_src,0,6,16.00346153846153,83.30794871794873
k3,3,32,9,30756,L2A_src,0,7,17.779230769230768,82.79653846153845
k3,3,32,9,30756,L2A_src,0,8,16.354358974358977,83.68410256410253
k3,3,32,9,30756,L2A_src,0,9,23.658717948717957,85.92307692307693
k3,3,32,9,30756,L2A_src,1,0,22.59064102564102,86.78128205128208
k3,3,32,9,30756,L2A_src,1,1,19.109230769230763,86.35153846153844
k3,3,32,9,30756,L2A_src,1,2,16.93243589743589,85.82474358974358
k3,3,32,9,30756,L2A_src,1,3,24.27974358974359,89.84679487179486
k3,3,32,9,30756,L2A_src,1,4,24.468333333333327,89.0674358974359
k3,3,32,9,30756,L2A_src,1,5,19.470705128205136,84.60583333333334
k3,3,32,9,30756,L2A_src,1,6,17.61423076923077,85.85192307692307
k3,3,32,9,30756,L2A_src,1,7,20.28538461538461,86.7124358974359
k3,3,32,9,30756,L2A_src,1,8,19.503974358974364,88.08743589743588
k3,3,32,9,30756,L2A_src,1,9,25.6874358974359,88.0847435897436
k3,3,32,9,30756,L2A_src,2,0,20.757564102564103,84.84653846153844
k3,3,32,9,30756,L2A_src,2,1,16.112051282051276,83.42910256410258
k3,3,32,9,30756,L2A_src,2,2,16.10410256410257,84.59115384615386
k3,3,32,9,30756,L2A_src,2,3,20.033974358974366,88.1975641025641
k3,3,32,9,30756,L2A_src,2,4,17.664871794871804,82.92910256410256
k3,3,32,9,30756,L2A_src,2,5,16.39961538461538,83.21820512820516
k3,3,32,9,30756,L2A_src,2,6,18.039358974358972,87.18089743589744
k3,3,32,9,30756,L2A_src,2,7,18.896538461538466,85.84192307692308
k3,3,32,9,30756,L2A_src,2,8,17.892307692307686,86.11358974358974
k3,3,32,9,30756,L2A_src,2,9,22.348974358974353,85.59038461538461
k3,3,32,9,30756,L2A_src,3,0,23.568974358974355,89.6429487179487
k3,3,32,9,30756,L2A_src,3,1,19.007692307692313,86.74551282051281
k3,3,32,9,30756,L2A_src,3,2,18.545128205128215,88.67769230769233
k3,3,32,9,30756,L2A_src,3,3,21.726025641025647,90.89961538461539
k3,3,32,9,30756,L2A_src,3,4,21.52769230769231,89.73641025641027
k3,3,32,9,30756,L2A_src,3,5,19.017884615384613,89.2541666666667
k3,3,32,9,30756,L2A_src,3,6,18.922307692307694,88.67615384615382
k3,3,32,9,30756,L2A_src,3,7,22.4598717948718,92.72551282051285
k3,3,32,9,30756,L2A_src,3,8,20.805512820512817,91.19615384615386
k3,3,32,9,30756,L2A_src,3,9,24.00038461538462,89.20602564102566
k3,3,32,9,30756,L2A_src,4,0,22.727820512820518,88.36166666666668
k3,3,32,9,30756,L2A_src,4,1,21.09051282051282,89.70153846153846
k3,3,32,9,30756,L2A_src,4,2,19.304102564102568,89.27923076923078
k3,3,32,9,30756,L2A_src,4,3,21.61730769230768,91.71858974358972
k3,3,32,9,30756,L2A_src,4,4,19.870128205128207,87.42410256410257
k3,3,32,9,30756,L2A_src,4,5,18.276794871794873,87.3351923076923
k3,3,32,9,30756,L2A_src,4,6,21.805,92.38756410256408
k3,3,32,9,30756,L2A_src,4,7,18.94948717948718,85.9124358974359
k3,3,32,9,30756,L2A_src,4,8,19.068461538461538,88.65961538461536
k3,3,32,9,30756,L2A_src,4,9,23.573846153846155,89.3894871794872
k3,3,32,9,30756,L2A_prod,0,0,10.78897435897436,71.74551282051281
