state,cls,model_seed,split_seed,support,iou,f1,pa,ua,joint,selective,coverage
L2A,thick cloud,5,4,44566,55.51338220622045,71.39370441137503,57.43167437059642,94.3246729316381,36.86666965848405,41.30631536604988,89.25189606426423
L2A,thin cloud,5,4,13564,0.007330303474563846,0.014659532360917688,0.007372456502506636,1.2658227848101267,94.44116779711,100.0,94.44116779711
L2A,cloud shadow,5,4,15177,0.3613191433451583,0.7200366564115991,0.3623904592475456,55.00000000000001,94.7354549647493,99.96523673781547,94.76839955195362
clean,clear,5,5,75202,75.53230039421524,86.06085629207016,91.46698226111008,81.25812167749557,2.1462195154384194,2.5477908096418256,84.2384511050238
clean,thick cloud,5,5,42422,70.65552406760027,82.80484848484848,80.51718447975107,85.22630869803882,8.052425628211777,10.450637868265671,77.05200132006978
clean,thin cloud,5,5,14511,29.25099102858335,45.26230831315577,38.64654400110261,54.61096504041289,28.00634001791744,60.180660447208645,46.537109778788505
clean,cloud shadow,5,5,13465,35.81626319056487,52.74223034734917,47.13702190865206,59.86041686315193,29.654660230226515,48.93382352941176,60.601559598960264
L2A,clear,5,5,75202,63.06989338297512,77.35320367795097,99.11438525571128,63.42733631737495,0.36967101938778224,0.37691337771330174,98.0785085503045
L2A,thick cloud,5,5,42422,56.294717954468986,72.03662246713735,59.16505586723869,92.0658792458367,34.083730140021686,38.856789658971806,87.71627928904813
L2A,thin cloud,5,5,14511,0.013716480351141896,0.027429198381677303,0.013782647646612916,2.7777777777777777,91.93715112673144,100.0,91.93715112673144
L2A,cloud shadow,5,5,13465,1.2462612163509472,2.4618414574101433,1.2996658002227999,23.27127659574468,94.42257705161529,99.20411985018727,95.1800965466023
clean,clear,5,6,72078,76.03519551810604,86.38635619919026,93.39465578956131,80.3564394255906,1.3596381697605373,1.5856065754133903,85.74877216348955
clean,thick cloud,5,6,43010,71.06353877398764,83.08437821794173,79.72797023947919,86.73580371822436,7.4750058126017205,9.869531849577898,75.73820041850733
clean,thin cloud,5,6,14293,30.906722251172486,47.2194578241312,41.49583712306723,54.77465829331363,27.60791996081998,61.84952978056426,44.63723501014483
clean,cloud shadow,5,6,14219,38.52948058025269,55.62639868259933,46.32533933469302,69.60059171597634,28.32829312891202,48.877563402499696,57.95766228286096
L2A,clear,5,6,72078,61.42145899209063,76.10073577032924,99.44365825910819,61.63324619935337,0.2414051444268709,0.24392295399108418,98.967784899692
L2A,thick cloud,5,6,43010,55.33736040835432,71.24797313779791,57.72146012555219,93.05446231118107,36.073006277609856,40.81820573533281,88.37479655893978
L2A,thin cloud,5,6,14293,0.020843465573542694,0.04167824395665462,0.02098929545931575,2.912621359223301,93.68921849856574,100.0,93.68921849856574
L2A,cloud shadow,5,6,14219,1.159758440845457,2.292924496302829,1.1885505309796751,32.37547892720307,94.88712286377383,99.3519882179676,95.50601308108868
clean,clear,5,7,73610,77.10485624005557,87.07254885833771,93.48322238826246,81.48468306315054,1.7565548159217497,2.092131449929615,83.96005977448716
clean,thick cloud,5,7,44585,71.55186287921461,83.41717971269424,79.77346641247055,87.4096829687884,6.36536951889649,8.6,74.01592463833127
