seed,method,state,IoU_clear,IoU_thick,IoU_thin,IoU_shadow,miou,audc,support_clear,support_thick,support_thin,support_shadow
4,b1,dropB10,65.70239703721248,67.25035635096611,12.175730783729138,28.524176088525376,43.41316506510828,27.944925511752256,151794,86281,26563,27862
4,b1,dropB1B9B10,39.74919197074083,36.67827178813995,4.865390853065196,16.95880602566487,24.562915159402714,27.944925511752256,151794,86281,26563,27862
4,b1,L2A_real,52.29990546443185,2.5724140317687367,0.0,0.24982155603140616,13.780535263057997,27.944925511752256,151794,86281,26563,27862
4,b2,clean,76.97464770397372,71.72754030019587,32.710129310344826,36.310272536687634,54.43064746280051,44.90968608363059,151794,86281,26563,27862
4,b2,dropB10,74.94042601900124,69.8745367865492,15.491565222764631,34.31267168278992,48.654799927776246,44.90968608363059,151794,86281,26563,27862
4,b2,dropB1B9B10,72.94047275277423,67.81211396301889,12.152691639791614,30.55881444890398,45.866023201122175,44.90968608363059,151794,86281,26563,27862
4,b2,L2A_real,60.31539027746664,44.778962555512976,0.026231965523702452,1.6905934541898076,26.702794563173278,44.90968608363059,151794,86281,26563,27862
4,b3,clean,77.69635176039509,72.73993969013206,33.27160325716931,39.41084713222942,55.779685459981465,25.858427637853175,151794,86281,26563,27862
4,b3,dropB10,23.670861636213644,35.649415399053694,6.517448856799038,2.5217331309507385,17.089864755754277,25.858427637853175,151794,86281,26563,27862
4,b3,dropB1B9B10,57.53553517137438,47.11995450421784,2.2320682160173884,0.032284679126161356,26.729960642683942,25.858427637853175,151794,86281,26563,27862
4,b3,L2A_real,54.39276954120902,34.49901622303894,0.04650996386533576,0.24377503047187882,22.295517689646296,25.858427637853175,151794,86281,26563,27862
