arm,seed,split,joint
n16,1,9,9.247644927536232
n16,2,0,12.262681159420293
n16,2,1,9.91322463768116
n16,2,2,10.898490338164251
n16,2,3,10.254347826086956
n16,2,4,13.417391304347825
n16,2,5,11.280253623188404
n16,2,6,9.063586956521739
n16,2,7,10.500483091787437
n16,2,8,10.00036231884058
n16,2,9,10.614553140096616
n16,3,0,15.868357487922705
n16,3,1,10.460144927536232
n16,3,2,13.16080917874396
n16,3,3,10.238043478260868
n16,3,4,9.927898550724638
n16,3,5,13.319202898550722
n16,3,6,13.050000000000002
n16,3,7,11.022282608695653
n16,3,8,7.804710144927538
n16,3,9,11.047041062801934
n16,4,0,16.454951690821257
n16,4,1,10.16123188405797
n16,4,2,12.775060386473431
n16,4,3,9.240217391304348
n16,4,4,11.603381642512078
n16,4,5,10.340036231884058
n16,4,6,9.669202898550724
n16,4,7,10.040036231884057
n16,4,8,11.14746376811594
n16,4,9,10.534057971014493
n16,5,0,13.304227053140094
n16,5,1,11.640217391304349
n16,5,2,12.30018115942029
n16,5,3,11.140398550724637
n16,5,4,11.682367149758456
n16,5,5,11.078804347826088
n16,5,6,13.059601449275362
n16,5,7,8.8905193236715
n16,5,8,10.969202898550725
n16,5,9,12.606461352657004
n16,6,0,12.725603864734298
n16,6,1,10.432971014492754
n16,6,2,13.092270531400965
n16,6,3,8.822282608695648
n16,6,4,9.456521739130435
n16,6,5,11.423007246376814
n16,6,6,14.033333333333331
n16,6,7,10.398188405797102
n16,6,8,11.875362318840581
n16,6,9,10.108091787439612
n16,7,0,12.041908212560386
n16,7,1,10.797282608695651
n16,7,2,11.61262077294686
n16,7,3,12.29764492753623
n16,7,4,12.770048309178742
n16,7,5,11.533333333333335
n16,7,6,11.668478260869565
n16,7,7,10.371135265700484
n16,7,8,10.168115942028985
n16,7,9,10.333091787439615
n16,8,0,12.130676328502412
n16,8,1,8.028623188405797
n16,8,2,10.990640096618359
n16,8,3,9.10054347826087
n16,8,4,13.201570048309177
n16,8,5,10.78695652173913
n16,8,6,10.805797101449274
n16,8,7,9.918719806763283
n16,8,8,8.81557971014493
n16,8,9,11.294384057971014
n16,9,0,12.317149758454107
n16,9,1,10.637137681159423
n16,9,2,11.581944444444446
n16,9,3,11.621739130434783
