split_seed,model_seed,method,arm,acc_bright,aurc_bright,auroc_bright,temperature,crc_threshold,crc_group_joint_risk,crc_group_coverage,crc_group_selective_risk,crc_feasible,n_calib_units,n_source_units,n_target_units,n_eval_units,n_eval_px
0,8,b2,naive,74.7692,9.65959,79.6249,1.14102,0.628222,12.3192,75.4269,16.3327,1,91,152,33,13,26000
0,8,b2,mondrian,74.7692,9.65959,79.6249,1.1869,0.906845,1.54615,34.5115,4.48011,1,12,152,33,13,26000
0,9,proposed,naive,77.95,8.18006,79.8836,1.23083,0.64639,9.12692,72.9692,12.5079,1,91,152,33,13,26000
0,9,proposed,mondrian,77.95,8.18006,79.8836,1.27426,0.864904,2.25385,43.0423,5.23635,1,12,152,33,13,26000
0,9,b2,naive,75.1769,10.183,77.0839,1.15105,0.610285,13.4885,76.4692,17.6391,1,91,152,33,13,26000
0,9,b2,mondrian,75.1769,10.183,77.0839,1.18977,0.909387,1.47692,33.9962,4.34438,1,12,152,33,13,26000
1,0,proposed,naive,74.8,10.253,78.1428,1.16669,0.636096,10.6096,72.1904,14.6967,1,91,152,33,13,28000
1,0,proposed,mondrian,74.8,10.253,78.1428,1.49515,0.796616,2.41538,39.675,6.08793,1,12,152,33,13,28000
1,0,b2,naive,73.5036,11.8624,75.7281,1.09094,0.648264,13.1096,73.2731,17.8914,1,91,152,33,13,28000
1,0,b2,mondrian,73.5036,11.8624,75.7281,1.36785,0.783359,3.48077,42.8538,8.12242,1,12,152,33,13,28000
1,1,proposed,naive,76.0464,8.60871,80.5993,1.14035,0.628499,10.3346,74.3058,13.9082,1,91,152,33,13,28000
1,1,proposed,mondrian,76.0464,8.60871,80.5993,1.45275,0.817173,1.34615,38.5558,3.49145,1,12,152,33,13,28000
1,1,b2,naive,75.5464,10.3885,76.7138,1.13637,0.632519,12.475,76.0962,16.3937,1,91,152,33,13,28000
1,1,b2,mondrian,75.5464,10.3885,76.7138,1.77786,0.793924,2.34423,38.2692,6.12563,1,12,152,33,13,28000
1,2,proposed,naive,73.4679,10.8586,78.028,1.24105,0.620357,13.7423,75.9308,18.0985,1,91,152,33,13,28000
1,2,proposed,mondrian,73.4679,10.8586,78.028,1.74104,0.76595,2.21731,37.7308,5.87666,1,12,152,33,13,28000
1,2,b2,naive,73.4071,11.1023,77.7468,1.07218,0.633838,12.9885,73.75,17.6115,1,91,152,33,13,28000
1,2,b2,mondrian,73.4071,11.1023,77.7468,1.3,0.81706,2.69615,40.4808,6.66033,1,12,152,33,13,28000
1,3,proposed,naive,74.3214,9.94504,79.1337,1.17949,0.624638,12.6,75.5673,16.6739,1,91,152,33,13,28000
1,3,proposed,mondrian,74.3214,9.94504,79.1337,1.47152,0.823455,1.82885,38.4981,4.75049,1,12,152,33,13,28000
1,3,b2,naive,74.5071,10.7327,77.2235,1.10736,0.627941,12.7038,75.0115,16.9359,1,91,152,33,13,28000
1,3,b2,mondrian,74.5071,10.7327,77.2235,1.54188,0.756363,3.77308,44.8077,8.4206,1,12,152,33,13,28000
1,4,proposed,naive,73.1036,10.7248,79.2024,1.17696,0.6368,11.1692,71.6462,15.5894,1,91,152,33,13,28000
1,4,proposed,mondrian,73.1036,10.7248,79.2024,1.53122,0.809914,1.56731,31.9712,4.90226,1,12,152,33,13,28000
1,4,b2,naive,74.875,10.2452,77.9352,1.09451,0.628495,12.3269,74.6923,16.5036,1,91,152,33,13,28000
1,4,b2,mondrian,74.875,10.2452,77.9352,1.35199,0.82256,2.35385,40.3269,5.83691,1,12,152,33,13,28000
1,5,proposed,naive,74.6857,11.0036,77.4042,1.20784,0.646307,10.4769,72.0942,14.5323,1,91,152,33,13,28000
1,5,proposed,mondrian,74.6857,11.0036,77.4042,1.41683,0.825667,2.04615,36.1981,5.65266,1,12,152,33,13,28000
1,5,b2,naive,72.9857,11.7869,76.4739,1.03749,0.635265,13.3827,73.0442,18.3214,1,91,152,33,13,28000
1,5,b2,mondrian,72.9857,11.7869,76.4739,1.29355,0.811449,2.86923,39.4,7.28231,1,12,152,33,13,28000
1,6,proposed,naive,73,11.5105,77.242,1.10463,0.634445,13.4788,74.2846,18.1449,1,91,152,33,13,28000
1,6,proposed,mondrian,73,11.5105,77.242,1.65078,0.770619,1.92885,33.3288,5.78732,1,12,152,33,13,28000
