seed,method,missing_groups,metric,value
0,b2,2,crcmask_positive_coverage,1
0,b2,3,crcmask_positive_coverage,1
0,b2,4,crcmask_positive_coverage,1
0,b2,5,crcmask_positive_coverage,1
0,b2,6,crcmask_positive_coverage,1
0,b2,0,temperature,1.52275
0,b2,1,temperature,1.45531
0,b2,2,temperature,1.36825
0,b2,3,temperature,1.31309
0,b2,4,temperature,1.28866
0,b2,5,temperature,1.45661
0,b2,6,temperature,1.60521
0,b2,0,plugin_neff,107
0,b2,1,plugin_neff,113
0,b2,2,plugin_neff,97
0,b2,3,plugin_neff,88
0,b2,4,plugin_neff,66
0,b2,5,plugin_neff,40
0,b2,6,plugin_neff,6
0,b2,0,plugin_icc,0.184648
0,b2,1,plugin_icc,0.176912
0,b2,2,plugin_icc,0.185406
0,b2,3,plugin_icc,0.181762
0,b2,4,plugin_icc,0.181646
0,b2,5,plugin_icc,0.174089
0,b2,6,plugin_icc,0.0928486
0,b2,0,plugin_eff_target,7.10198
0,b2,1,plugin_eff_target,7.17242
0,b2,2,plugin_eff_target,6.9589
0,b2,3,plugin_eff_target,6.7934
0,b2,4,plugin_eff_target,6.29411
0,b2,5,plugin_eff_target,5.23189
0,b2,6,plugin_eff_target,0
0,b2,0,plugin_positive_coverage,1
0,b2,1,plugin_positive_coverage,1
0,b2,2,plugin_positive_coverage,1
0,b2,3,plugin_positive_coverage,1
0,b2,4,plugin_positive_coverage,1
0,b2,5,plugin_positive_coverage,1
0,b2,6,plugin_positive_coverage,0
0,b2,0,plugin_degenerate,0
0,b2,1,plugin_degenerate,0
0,b2,2,plugin_degenerate,0
0,b2,3,plugin_degenerate,0
0,b2,4,plugin_degenerate,0
0,b2,5,plugin_degenerate,0
0,b2,6,plugin_degenerate,1
0,b2,0,mask_acc_worst,76.7977
0,b2,1,mask_acc_worst,71.6203
0,b2,2,mask_acc_worst,65.7718
0,b2,3,mask_acc_worst,64.6213
0,b2,4,mask_acc_worst,40.3643
0,b2,5,mask_acc_worst,39.4056
0,b2,6,mask_acc_worst,23.5858
0,b2,0,mask_acc_median,76.7977
0,b2,1,mask_acc_median,76.0307
0,b2,2,mask_acc_median,73.8255
0,b2,3,mask_acc_median,71.6203
0,b2,4,mask_acc_median,67.6894
0,b2,5,mask_acc_median,58.581
0,b2,6,mask_acc_median,46.4046
0,b2,0,mask_acc_p05,76.7977
0,b2,1,mask_acc_p05,71.6203
0,b2,2,mask_acc_p05,68.1975
0,b2,3,mask_acc_p05,66.2464
0,b2,4,mask_acc_p05,59.1898
0,b2,5,mask_acc_p05,43.3174
0,b2,6,mask_acc_p05,24.4775
0,b2,0,mask_cov_worst,82.2627
0,b2,1,mask_cov_worst,72.675
0,b2,2,mask_cov_worst,67.1141
0,b2,3,mask_cov_worst,61.5532
0,b2,4,mask_cov_worst,46.884
0,b2,5,mask_cov_worst,31.5436
0,b2,6,mask_cov_worst,9.20422
0,b2,0,mask_sel_risk_worst,15.3846
0,b2,1,mask_sel_risk_worst,16.095
0,b2,2,mask_sel_risk_worst,23.0663
0,b2,3,mask_sel_risk_worst,24.9254
0,b2,4,mask_sel_risk_worst,56.4417
0,b2,5,mask_sel_risk_worst,55.3047
0,b2,6,mask_sel_risk_worst,83.0986
0,b2,0,mask_sel_risk_median,15.3846
0,b2,1,mask_sel_risk_median,13.8903
0,b2,2,mask_sel_risk_median,15.4328
0,b2,3,mask_sel_risk_median,15.2994
0,b2,4,mask_sel_risk_median,17.0868
0,b2,5,mask_sel_risk_median,23.2884
0,b2,6,mask_sel_risk_median,33.9867
0,b2,0,cls_cov_min,35
0,b2,1,cls_cov_min,31.0417
0,b2,2,cls_cov_min,28.5417
0,b2,3,cls_cov_min,26.25
0,b2,4,cls_cov_min,23.3854
0,b2,5,cls_cov_min,21.0417
0,b2,6,cls_cov_min,5.84239
0,b2,0,cls_cov_macro,81.6994
0,b2,1,cls_cov_macro,73.5314
0,b2,2,cls_cov_macro,67.8142
0,b2,3,cls_cov_macro,61.2633
0,b2,4,cls_cov_macro,52.5798
0,b2,5,cls_cov_macro,41.376
0,b2,6,cls_cov_macro,22.9802
0,b2,0,cls_zero_cov_n,0
0,b2,1,cls_zero_cov_n,0
0,b2,2,cls_zero_cov_n,0
0,b2,3,cls_zero_cov_n,0
0,b2,4,cls_zero_cov_n,0
0,b2,5,cls_zero_cov_n,0
0,b2,6,cls_zero_cov_n,0
0,b2,0,cls_sel_risk_max,100
0,b2,1,cls_sel_risk_max,97.4194
0,b2,2,cls_sel_risk_max,94.0767
0,b2,3,cls_sel_risk_max,87.9032
0,b2,4,cls_sel_risk_max,85.2535
0,b2,5,cls_sel_risk_max,93.1034
0,b2,6,cls_sel_risk_max,91.3462
0,b2,0,cls_sel_risk_macro,24.0376
0,b2,1,cls_sel_risk_macro,24.0099
0,b2,2,cls_sel_risk_macro,27.2774
0,b2,3,cls_sel_risk_macro,28.5196
0,b2,4,cls_sel_risk_macro,31.892
0,b2,5,cls_sel_risk_macro,38.659
0,b2,6,cls_sel_risk_macro,48.0575
0,b2,0,plugin_threshold,0.587677
0,b2,1,plugin_threshold,0.643512
0,b2,2,plugin_threshold,0.681573
0,b2,3,plugin_threshold,0.720399
0,b2,4,plugin_threshold,0.766595
0,b2,5,plugin_threshold,0.791435
0,b2,6,plugin_threshold,inf
0,b2,0,crc_threshold,0.58187
0,b2,1,crc_threshold,0.615341
0,b2,2,crc_threshold,0.62995
0,b2,3,crc_threshold,0.648059
0,b2,4,crc_threshold,0.656916
0,b2,5,crc_threshold,0.602093
0,b2,6,crc_threshold,0.632206
0,b2m,0,acc,77.2771
0,b2m,1,acc,75.7371
0,b2m,2,acc,73.7716
0,b2m,3,acc,71.9889
0,b2m,4,acc,68.4204
0,b2m,5,acc,61.8229
0,b2m,6,acc,52.6396
0,b2m,0,aurc,8.82859
0,b2m,1,aurc,9.2256
0,b2m,2,aurc,10.5714
0,b2m,3,aurc,11.6559
0,b2m,4,aurc,14.5701
0,b2m,5,aurc,20.7584
0,b2m,6,aurc,31.0199
0,b2m,0,augrc,6.10471
0,b2m,1,augrc,6.5209
0,b2m,2,augrc,7.34429
0,b2m,3,augrc,8.05897
0,b2m,4,augrc,9.84596
0,b2m,5,augrc,13.3322
0,b2m,6,augrc,18.9256
0,b2m,0,auroc,79.9986
0,b2m,1,auroc,80.5411
0,b2m,2,auroc,79.8234
0,b2m,3,auroc,79.4924
0,b2m,4,auroc,77.5115
0,b2m,5,auroc,74.3914
0,b2m,6,auroc,69.0747
0,b2m,0,plugin_coverage,79.5781
0,b2m,1,plugin_coverage,73.0076
0,b2m,2,plugin_coverage,68.6421
0,b2m,3,plugin_coverage,64.2378
0,b2m,4,plugin_coverage,49.191
0,b2m,5,plugin_coverage,29.8778
0,b2m,6,plugin_coverage,0
0,b2m,0,plugin_cond_risk,14.4578
0,b2m,1,plugin_cond_risk,13.8876
0,b2m,2,plugin_cond_risk,14.2427
0,b2m,3,plugin_cond_risk,14.3097
0,b2m,4,plugin_cond_risk,13.3817
0,b2m,5,plugin_cond_risk,12.9162
0,b2m,6,plugin_cond_risk,nan
0,b2m,0,crc_calib_bound,9.95918
0,b2m,1,crc_calib_bound,9.93092
0,b2m,2,crc_calib_bound,9.9418
0,b2m,3,crc_calib_bound,9.99698
0,b2m,4,crc_calib_bound,9.93014
0,b2m,5,crc_calib_bound,9.90462
0,b2m,6,crc_calib_bound,9.87371
0,b2m,0,crc_eval_joint_risk,13.4858
0,b2m,1,crc_eval_joint_risk,11.8052
0,b2m,2,crc_eval_joint_risk,11.7482
0,b2m,3,crc_eval_joint_risk,11.5536
0,b2m,4,crc_eval_joint_risk,11.2685
0,b2m,5,crc_eval_joint_risk,10.9279
0,b2m,6,crc_eval_joint_risk,10.6517
0,b2m,0,crc_coverage,80.9417
0,b2m,1,crc_coverage,75.194
0,b2m,2,crc_coverage,71.2443
0,b2m,3,crc_coverage,68.6492
0,b2m,4,crc_coverage,61.4062
0,b2m,5,crc_coverage,52.2572
0,b2m,6,crc_coverage,37.0517
0,b2m,0,crc_sel_risk,16.6611
0,b2m,1,crc_sel_risk,15.6997
0,b2m,2,crc_sel_risk,16.49
0,b2m,3,crc_sel_risk,16.8299
0,b2m,4,crc_sel_risk,18.3507
0,b2m,5,crc_sel_risk,20.9118
0,b2m,6,crc_sel_risk,28.7481
0,b2m,0,crc_feasible,1
0,b2m,1,crc_feasible,1
0,b2m,2,crc_feasible,1
0,b2m,3,crc_feasible,1
0,b2m,4,crc_feasible,1
0,b2m,5,crc_feasible,1
0,b2m,6,crc_feasible,1
0,b2m,0,crc_units,26
0,b2m,1,crc_units,26
0,b2m,2,crc_units,26
0,b2m,3,crc_units,26
0,b2m,4,crc_units,26
0,b2m,5,crc_units,26
0,b2m,6,crc_units,26
0,b2m,0,crc_positive_coverage,1
0,b2m,1,crc_positive_coverage,1
0,b2m,2,crc_positive_coverage,1
0,b2m,3,crc_positive_coverage,1
0,b2m,4,crc_positive_coverage,1
0,b2m,5,crc_positive_coverage,1
0,b2m,6,crc_positive_coverage,1
0,b2m,0,crcmask_calib_bound,nan
0,b2m,1,crcmask_calib_bound,9.9725
0,b2m,2,crcmask_calib_bound,9.9725
0,b2m,3,crcmask_calib_bound,9.95965
0,b2m,4,crcmask_calib_bound,9.93137
0,b2m,5,crcmask_calib_bound,9.87997
0,b2m,6,crcmask_calib_bound,9.84142
0,b2m,0,crcmask_eval_joint_risk,nan
0,b2m,1,crcmask_eval_joint_risk,12.5539
0,b2m,2,crcmask_eval_joint_risk,12.3232
0,b2m,3,crcmask_eval_joint_risk,12.8206
0,b2m,4,crcmask_eval_joint_risk,11.1367
0,b2m,5,crcmask_eval_joint_risk,12.7637
0,b2m,6,crcmask_eval_joint_risk,9.55477
0,b2m,0,crcmask_coverage,nan
0,b2m,1,crcmask_coverage,80.3452
0,b2m,2,crcmask_coverage,75.7221
0,b2m,3,crcmask_coverage,72.3184
0,b2m,4,crcmask_coverage,64.6872
0,b2m,5,crcmask_coverage,56.0642
0,b2m,6,crcmask_coverage,38.6745
0,b2m,0,crcmask_sel_risk,nan
0,b2m,1,crcmask_sel_risk,15.625
0,b2m,2,crcmask_sel_risk,16.2743
0,b2m,3,crcmask_sel_risk,17.728
0,b2m,4,crcmask_sel_risk,17.2163
0,b2m,5,crcmask_sel_risk,22.7661
0,b2m,6,crcmask_sel_risk,24.7056
0,b2m,0,crcmask_feasible,nan
0,b2m,1,crcmask_feasible,1
0,b2m,2,crcmask_feasible,1
0,b2m,3,crcmask_feasible,1
0,b2m,4,crcmask_feasible,1
