seed,split,state,arm,joint,cov
8,7,L2A,naive,33.56730769230769,91.94756097560976
8,7,L2A,mondrian,7.78653846153846,38.93536585365854
8,8,clean,naive,7.947435897435897,76.38333333333334
8,8,L2A,naive,32.41602564102564,95.77142857142857
8,8,L2A,mondrian,12.121794871794874,54.767857142857146
8,9,clean,naive,8.923076923076923,76.6175
8,9,L2A,naive,32.88846153846154,93.7325
8,9,L2A,mondrian,6.77628205128205,34.69625
9,0,clean,naive,7.339743589743588,73.61794871794872
9,0,L2A,naive,26.826923076923077,93.78333333333333
9,0,L2A,mondrian,10.074358974358974,48.81794871794872
9,1,clean,naive,9.440384615384616,75.42375
9,1,L2A,naive,28.55897435897436,94.61749999999999
9,1,L2A,mondrian,6.140384615384615,36.2975
9,2,clean,naive,10.07051282051282,79.2897435897436
9,2,L2A,naive,28.053846153846155,95.5
9,2,L2A,mondrian,7.705128205128204,43.15897435897436
9,3,clean,naive,8.465384615384618,73.1329268292683
9,3,L2A,naive,28.83846153846154,93.72560975609755
9,3,L2A,mondrian,8.887820512820513,45.81341463414634
9,4,clean,naive,5.869871794871797,73.00750000000001
9,4,L2A,naive,25.739743589743586,94.91125
9,4,L2A,mondrian,5.2160256410256425,32.7425
9,5,clean,naive,9.355128205128207,72.17820512820514
9,5,L2A,naive,27.839743589743588,92.90641025641025
9,5,L2A,mondrian,7.996153846153844,42.05769230769231
9,6,clean,naive,5.633333333333333,71.1125
9,6,L2A,naive,25.58717948717949,93.58625
9,6,L2A,mondrian,6.139102564102563,39.4825
9,7,clean,naive,10.310897435897438,76.76951219512195
9,7,L2A,naive,29.02884615384615,94.50975609756097
9,7,L2A,mondrian,8.025641025641024,42.56463414634146
9,8,clean,naive,7.0442307692307695,73.9154761904762
9,8,L2A,naive,27.865384615384613,95.20357142857144
9,8,L2A,mondrian,11.51923076923077,52.56785714285714
9,9,clean,naive,8.63397435897436,76.655
9,9,L2A,naive,27.943589743589737,94.63875
9,9,L2A,mondrian,8.116666666666667,40.73875
